Namespace(batch_size=16, data_shape=512, dataset='voc', epochs=20, gpus='0', log_interval=1, lr=0.0001, lr_decay=0.1, lr_decay_epoch='160,200', momentum=0.9, network='resnet50_v1', num_workers=3, resume='', save_interval=100, save_prefix='16_0.0001_ssd_512_resnet50_v1_voc', seed=233, start_epoch=0, syncbn=False, val_interval=1, wd=0.0005)
Start training from [Epoch 0]
[Epoch 0][Batch 0], Speed: 1.747 samples/sec, CrossEntropy=8.305, SmoothL1=2.133
[Epoch 0][Batch 1], Speed: 34.555 samples/sec, CrossEntropy=7.883, SmoothL1=2.460
[Epoch 0][Batch 2], Speed: 31.096 samples/sec, CrossEntropy=7.738, SmoothL1=2.328
[Epoch 0][Batch 3], Speed: 23.711 samples/sec, CrossEntropy=7.386, SmoothL1=2.468
[Epoch 0][Batch 4], Speed: 22.618 samples/sec, CrossEntropy=7.217, SmoothL1=2.353
[Epoch 0][Batch 5], Speed: 23.044 samples/sec, CrossEntropy=6.985, SmoothL1=2.248
[Epoch 0][Batch 6], Speed: 22.265 samples/sec, CrossEntropy=6.791, SmoothL1=2.175
[Epoch 0][Batch 7], Speed: 22.534 samples/sec, CrossEntropy=6.607, SmoothL1=2.184
[Epoch 0][Batch 8], Speed: 24.898 samples/sec, CrossEntropy=6.427, SmoothL1=2.169
[Epoch 0][Batch 9], Speed: 25.655 samples/sec, CrossEntropy=6.273, SmoothL1=2.136
[Epoch 0][Batch 10], Speed: 25.747 samples/sec, CrossEntropy=6.144, SmoothL1=2.108
[Epoch 0][Batch 11], Speed: 25.546 samples/sec, CrossEntropy=6.029, SmoothL1=2.168
[Epoch 0][Batch 12], Speed: 7.040 samples/sec, CrossEntropy=5.924, SmoothL1=2.174
[Epoch 0][Batch 13], Speed: 22.471 samples/sec, CrossEntropy=5.831, SmoothL1=2.158
[Epoch 0][Batch 14], Speed: 26.300 samples/sec, CrossEntropy=5.744, SmoothL1=2.134
[Epoch 0][Batch 15], Speed: 24.106 samples/sec, CrossEntropy=5.659, SmoothL1=2.109
[Epoch 0][Batch 16], Speed: 23.143 samples/sec, CrossEntropy=5.579, SmoothL1=2.080
[Epoch 0][Batch 17], Speed: 23.086 samples/sec, CrossEntropy=5.504, SmoothL1=2.038
[Epoch 0][Batch 18], Speed: 23.061 samples/sec, CrossEntropy=5.443, SmoothL1=2.054
[Epoch 0][Batch 19], Speed: 6.552 samples/sec, CrossEntropy=5.381, SmoothL1=2.042
[Epoch 0][Batch 20], Speed: 23.474 samples/sec, CrossEntropy=5.319, SmoothL1=2.034
[Epoch 0][Batch 21], Speed: 22.585 samples/sec, CrossEntropy=5.256, SmoothL1=2.023
[Epoch 0][Batch 22], Speed: 23.643 samples/sec, CrossEntropy=5.197, SmoothL1=1.994
[Epoch 0][Batch 23], Speed: 25.281 samples/sec, CrossEntropy=5.146, SmoothL1=1.971
[Epoch 0][Batch 24], Speed: 22.378 samples/sec, CrossEntropy=5.097, SmoothL1=1.968
[Epoch 0][Batch 25], Speed: 21.321 samples/sec, CrossEntropy=5.047, SmoothL1=1.964
[Epoch 0][Batch 26], Speed: 23.287 samples/sec, CrossEntropy=5.005, SmoothL1=1.948
[Epoch 0][Batch 27], Speed: 22.245 samples/sec, CrossEntropy=4.963, SmoothL1=1.932
[Epoch 0][Batch 28], Speed: 22.852 samples/sec, CrossEntropy=4.914, SmoothL1=1.914
[Epoch 0][Batch 29], Speed: 25.491 samples/sec, CrossEntropy=4.874, SmoothL1=1.897
[Epoch 0][Batch 30], Speed: 23.295 samples/sec, CrossEntropy=4.837, SmoothL1=1.899
[Epoch 0][Batch 31], Speed: 20.941 samples/sec, CrossEntropy=4.799, SmoothL1=1.888
[Epoch 0][Batch 32], Speed: 22.243 samples/sec, CrossEntropy=4.759, SmoothL1=1.879
[Epoch 0][Batch 33], Speed: 22.697 samples/sec, CrossEntropy=4.727, SmoothL1=1.862
[Epoch 0][Batch 34], Speed: 22.319 samples/sec, CrossEntropy=4.694, SmoothL1=1.853
[Epoch 0][Batch 35], Speed: 22.883 samples/sec, CrossEntropy=4.662, SmoothL1=1.846
[Epoch 0][Batch 36], Speed: 24.151 samples/sec, CrossEntropy=4.630, SmoothL1=1.842
[Epoch 0][Batch 37], Speed: 14.419 samples/sec, CrossEntropy=4.601, SmoothL1=1.827
[Epoch 0][Batch 38], Speed: 14.773 samples/sec, CrossEntropy=4.570, SmoothL1=1.833
[Epoch 0][Batch 39], Speed: 22.717 samples/sec, CrossEntropy=4.538, SmoothL1=1.832
[Epoch 0][Batch 40], Speed: 22.877 samples/sec, CrossEntropy=4.509, SmoothL1=1.817
[Epoch 0][Batch 41], Speed: 11.967 samples/sec, CrossEntropy=4.482, SmoothL1=1.816
[Epoch 0][Batch 42], Speed: 21.158 samples/sec, CrossEntropy=4.455, SmoothL1=1.810
[Epoch 0][Batch 43], Speed: 24.710 samples/sec, CrossEntropy=4.429, SmoothL1=1.802
[Epoch 0][Batch 44], Speed: 23.289 samples/sec, CrossEntropy=4.405, SmoothL1=1.799
[Epoch 0][Batch 45], Speed: 23.380 samples/sec, CrossEntropy=4.380, SmoothL1=1.791
[Epoch 0][Batch 46], Speed: 25.203 samples/sec, CrossEntropy=4.355, SmoothL1=1.788
[Epoch 0][Batch 47], Speed: 11.546 samples/sec, CrossEntropy=4.333, SmoothL1=1.778
[Epoch 0][Batch 48], Speed: 23.919 samples/sec, CrossEntropy=4.311, SmoothL1=1.776
[Epoch 0][Batch 49], Speed: 22.436 samples/sec, CrossEntropy=4.289, SmoothL1=1.774
[Epoch 0][Batch 50], Speed: 18.189 samples/sec, CrossEntropy=4.266, SmoothL1=1.761
[Epoch 0][Batch 51], Speed: 24.711 samples/sec, CrossEntropy=4.244, SmoothL1=1.755
[Epoch 0][Batch 52], Speed: 23.056 samples/sec, CrossEntropy=4.224, SmoothL1=1.764
[Epoch 0][Batch 53], Speed: 23.804 samples/sec, CrossEntropy=4.204, SmoothL1=1.759
[Epoch 0][Batch 54], Speed: 21.610 samples/sec, CrossEntropy=4.185, SmoothL1=1.759
[Epoch 0][Batch 55], Speed: 20.487 samples/sec, CrossEntropy=4.166, SmoothL1=1.749
[Epoch 0][Batch 56], Speed: 22.868 samples/sec, CrossEntropy=4.146, SmoothL1=1.744
[Epoch 0][Batch 57], Speed: 15.827 samples/sec, CrossEntropy=4.127, SmoothL1=1.743
[Epoch 0][Batch 58], Speed: 21.466 samples/sec, CrossEntropy=4.112, SmoothL1=1.746
[Epoch 0][Batch 59], Speed: 22.509 samples/sec, CrossEntropy=4.095, SmoothL1=1.734
[Epoch 0][Batch 60], Speed: 24.409 samples/sec, CrossEntropy=4.078, SmoothL1=1.723
[Epoch 0][Batch 61], Speed: 21.721 samples/sec, CrossEntropy=4.060, SmoothL1=1.715
[Epoch 0][Batch 62], Speed: 24.375 samples/sec, CrossEntropy=4.044, SmoothL1=1.712
[Epoch 0][Batch 63], Speed: 23.082 samples/sec, CrossEntropy=4.027, SmoothL1=1.703
[Epoch 0][Batch 64], Speed: 21.164 samples/sec, CrossEntropy=4.011, SmoothL1=1.694
[Epoch 0][Batch 65], Speed: 14.709 samples/sec, CrossEntropy=3.996, SmoothL1=1.690
[Epoch 0][Batch 66], Speed: 24.166 samples/sec, CrossEntropy=3.982, SmoothL1=1.690
[Epoch 0][Batch 67], Speed: 21.545 samples/sec, CrossEntropy=3.967, SmoothL1=1.681
[Epoch 0][Batch 68], Speed: 15.154 samples/sec, CrossEntropy=3.953, SmoothL1=1.676
[Epoch 0][Batch 69], Speed: 24.641 samples/sec, CrossEntropy=3.938, SmoothL1=1.667
[Epoch 0][Batch 70], Speed: 22.148 samples/sec, CrossEntropy=3.924, SmoothL1=1.663
[Epoch 0][Batch 71], Speed: 7.654 samples/sec, CrossEntropy=3.911, SmoothL1=1.657
[Epoch 0][Batch 72], Speed: 22.657 samples/sec, CrossEntropy=3.898, SmoothL1=1.654
[Epoch 0][Batch 73], Speed: 22.599 samples/sec, CrossEntropy=3.887, SmoothL1=1.653
[Epoch 0][Batch 74], Speed: 22.846 samples/sec, CrossEntropy=3.874, SmoothL1=1.655
[Epoch 0][Batch 75], Speed: 25.846 samples/sec, CrossEntropy=3.862, SmoothL1=1.647
[Epoch 0][Batch 76], Speed: 24.561 samples/sec, CrossEntropy=3.850, SmoothL1=1.646
[Epoch 0][Batch 77], Speed: 26.986 samples/sec, CrossEntropy=3.838, SmoothL1=1.640
[Epoch 0][Batch 78], Speed: 24.904 samples/sec, CrossEntropy=3.825, SmoothL1=1.634
[Epoch 0][Batch 79], Speed: 7.670 samples/sec, CrossEntropy=3.814, SmoothL1=1.632
[Epoch 0][Batch 80], Speed: 22.860 samples/sec, CrossEntropy=3.803, SmoothL1=1.627
[Epoch 0][Batch 81], Speed: 22.223 samples/sec, CrossEntropy=3.791, SmoothL1=1.630
[Epoch 0][Batch 82], Speed: 22.834 samples/sec, CrossEntropy=3.779, SmoothL1=1.628
[Epoch 0][Batch 83], Speed: 23.127 samples/sec, CrossEntropy=3.768, SmoothL1=1.624
[Epoch 0][Batch 84], Speed: 9.106 samples/sec, CrossEntropy=3.756, SmoothL1=1.623
[Epoch 0][Batch 85], Speed: 29.038 samples/sec, CrossEntropy=3.745, SmoothL1=1.619
[Epoch 0][Batch 86], Speed: 24.126 samples/sec, CrossEntropy=3.735, SmoothL1=1.614
[Epoch 0][Batch 87], Speed: 22.701 samples/sec, CrossEntropy=3.724, SmoothL1=1.611
[Epoch 0][Batch 88], Speed: 22.569 samples/sec, CrossEntropy=3.712, SmoothL1=1.607
[Epoch 0][Batch 89], Speed: 22.849 samples/sec, CrossEntropy=3.702, SmoothL1=1.600
[Epoch 0][Batch 90], Speed: 23.934 samples/sec, CrossEntropy=3.691, SmoothL1=1.592
[Epoch 0][Batch 91], Speed: 9.376 samples/sec, CrossEntropy=3.682, SmoothL1=1.593
[Epoch 0][Batch 92], Speed: 23.277 samples/sec, CrossEntropy=3.672, SmoothL1=1.590
[Epoch 0][Batch 93], Speed: 24.173 samples/sec, CrossEntropy=3.662, SmoothL1=1.587
[Epoch 0][Batch 94], Speed: 23.334 samples/sec, CrossEntropy=3.653, SmoothL1=1.586
[Epoch 0][Batch 95], Speed: 8.052 samples/sec, CrossEntropy=3.645, SmoothL1=1.582
[Epoch 0][Batch 96], Speed: 22.882 samples/sec, CrossEntropy=3.637, SmoothL1=1.575
[Epoch 0][Batch 97], Speed: 23.876 samples/sec, CrossEntropy=3.628, SmoothL1=1.568
[Epoch 0][Batch 98], Speed: 24.943 samples/sec, CrossEntropy=3.619, SmoothL1=1.564
[Epoch 0][Batch 99], Speed: 23.377 samples/sec, CrossEntropy=3.611, SmoothL1=1.563
[Epoch 0][Batch 100], Speed: 23.782 samples/sec, CrossEntropy=3.602, SmoothL1=1.555
[Epoch 0][Batch 101], Speed: 21.692 samples/sec, CrossEntropy=3.594, SmoothL1=1.551
[Epoch 0][Batch 102], Speed: 22.791 samples/sec, CrossEntropy=3.586, SmoothL1=1.548
[Epoch 0][Batch 103], Speed: 23.718 samples/sec, CrossEntropy=3.578, SmoothL1=1.550
[Epoch 0][Batch 104], Speed: 24.452 samples/sec, CrossEntropy=3.570, SmoothL1=1.547
[Epoch 0][Batch 105], Speed: 23.328 samples/sec, CrossEntropy=3.562, SmoothL1=1.541
[Epoch 0][Batch 106], Speed: 22.880 samples/sec, CrossEntropy=3.555, SmoothL1=1.537
[Epoch 0][Batch 107], Speed: 12.929 samples/sec, CrossEntropy=3.547, SmoothL1=1.531
[Epoch 0][Batch 108], Speed: 22.687 samples/sec, CrossEntropy=3.540, SmoothL1=1.527
[Epoch 0][Batch 109], Speed: 24.384 samples/sec, CrossEntropy=3.532, SmoothL1=1.521
[Epoch 0][Batch 110], Speed: 21.546 samples/sec, CrossEntropy=3.525, SmoothL1=1.519
