Namespace(batch_size=16, data_shape=512, dataset='voc', epochs=20, gpus='0', log_interval=1, lr=0.1, lr_decay=0.1, lr_decay_epoch='160,200', momentum=0.9, network='resnet50_v1', num_workers=3, resume='', save_interval=100, save_prefix='16_0.1_ssd_512_resnet50_v1_voc', seed=233, start_epoch=0, syncbn=False, val_interval=1, wd=0.0005)
Start training from [Epoch 0]
[Epoch 0][Batch 0], Speed: 1.855 samples/sec, CrossEntropy=8.274, SmoothL1=2.274
[Epoch 0][Batch 1], Speed: 34.279 samples/sec, CrossEntropy=22.881, SmoothL1=3.239
[Epoch 0][Batch 2], Speed: 29.838 samples/sec, CrossEntropy=35.909, SmoothL1=3.195
[Epoch 0][Batch 3], Speed: 23.026 samples/sec, CrossEntropy=45.119, SmoothL1=3.215
[Epoch 0][Batch 4], Speed: 22.686 samples/sec, CrossEntropy=40.430, SmoothL1=3.093
[Epoch 0][Batch 5], Speed: 22.516 samples/sec, CrossEntropy=37.980, SmoothL1=3.135
[Epoch 0][Batch 6], Speed: 20.597 samples/sec, CrossEntropy=140.717, SmoothL1=5.195
[Epoch 0][Batch 7], Speed: 20.797 samples/sec, CrossEntropy=133.010, SmoothL1=5.040
[Epoch 0][Batch 8], Speed: 21.709 samples/sec, CrossEntropy=121.075, SmoothL1=4.865
[Epoch 0][Batch 9], Speed: 20.485 samples/sec, CrossEntropy=148.534, SmoothL1=6.163
[Epoch 0][Batch 10], Speed: 21.563 samples/sec, CrossEntropy=147.537, SmoothL1=6.633
[Epoch 0][Batch 11], Speed: 21.325 samples/sec, CrossEntropy=152.989, SmoothL1=7.077
[Epoch 0][Batch 12], Speed: 22.710 samples/sec, CrossEntropy=154.144, SmoothL1=7.351
[Epoch 0][Batch 13], Speed: 20.638 samples/sec, CrossEntropy=162.639, SmoothL1=8.102
[Epoch 0][Batch 14], Speed: 22.296 samples/sec, CrossEntropy=197.330, SmoothL1=11.075
[Epoch 0][Batch 15], Speed: 22.391 samples/sec, CrossEntropy=301.125, SmoothL1=13.710
[Epoch 0][Batch 16], Speed: 20.949 samples/sec, CrossEntropy=352.955, SmoothL1=15.568
[Epoch 0][Batch 17], Speed: 22.872 samples/sec, CrossEntropy=641.156, SmoothL1=33.020
[Epoch 0][Batch 18], Speed: 9.092 samples/sec, CrossEntropy=1669.991, SmoothL1=68.568
[Epoch 0][Batch 19], Speed: 21.401 samples/sec, CrossEntropy=1963.121, SmoothL1=196.880
[Epoch 0][Batch 20], Speed: 22.390 samples/sec, CrossEntropy=2609.187, SmoothL1=279.473
[Epoch 0][Batch 21], Speed: 23.545 samples/sec, CrossEntropy=2758.720, SmoothL1=320.726
[Epoch 0][Batch 22], Speed: 22.427 samples/sec, CrossEntropy=5110.836, SmoothL1=846.359
[Epoch 0][Batch 23], Speed: 20.542 samples/sec, CrossEntropy=5135.833, SmoothL1=831.133
[Epoch 0][Batch 24], Speed: 21.579 samples/sec, CrossEntropy=5385.040, SmoothL1=843.610
[Epoch 0][Batch 25], Speed: 20.565 samples/sec, CrossEntropy=6011.421, SmoothL1=846.910
