Namespace(batch_size=16, data_shape=512, dataset='voc', epochs=20, gpus='0', log_interval=1, lr=0.001, lr_decay=0.1, lr_decay_epoch='160,200', momentum=0.9, network='resnet50_v1', num_workers=3, resume='', save_interval=100, save_prefix='16_0.001_ssd_512_resnet50_v1_voc', seed=233, start_epoch=0, syncbn=False, val_interval=1, wd=0.0005)
Start training from [Epoch 0]
[Epoch 0][Batch 57], Speed: 21.992 samples/sec, CrossEntropy=2.962, SmoothL1=1.348
[Epoch 0][Batch 58], Speed: 22.654 samples/sec, CrossEntropy=2.953, SmoothL1=1.348
[Epoch 0][Batch 59], Speed: 21.384 samples/sec, CrossEntropy=2.939, SmoothL1=1.340
[Epoch 0][Batch 60], Speed: 22.547 samples/sec, CrossEntropy=2.927, SmoothL1=1.332
[Epoch 0][Batch 61], Speed: 23.231 samples/sec, CrossEntropy=2.914, SmoothL1=1.322
[Epoch 0][Batch 62], Speed: 15.913 samples/sec, CrossEntropy=2.903, SmoothL1=1.320
[Epoch 0][Batch 63], Speed: 23.271 samples/sec, CrossEntropy=2.892, SmoothL1=1.319
[Epoch 0][Batch 64], Speed: 22.884 samples/sec, CrossEntropy=2.882, SmoothL1=1.315
[Epoch 0][Batch 65], Speed: 17.800 samples/sec, CrossEntropy=2.874, SmoothL1=1.313
[Epoch 0][Batch 66], Speed: 22.519 samples/sec, CrossEntropy=2.862, SmoothL1=1.305
[Epoch 0][Batch 67], Speed: 22.451 samples/sec, CrossEntropy=2.853, SmoothL1=1.297
[Epoch 0][Batch 68], Speed: 15.659 samples/sec, CrossEntropy=2.846, SmoothL1=1.297
[Epoch 0][Batch 69], Speed: 22.489 samples/sec, CrossEntropy=2.836, SmoothL1=1.293
[Epoch 0][Batch 70], Speed: 21.481 samples/sec, CrossEntropy=2.826, SmoothL1=1.289
[Epoch 0][Batch 71], Speed: 19.121 samples/sec, CrossEntropy=2.816, SmoothL1=1.287
[Epoch 0][Batch 72], Speed: 20.877 samples/sec, CrossEntropy=2.809, SmoothL1=1.285
[Epoch 0][Batch 73], Speed: 23.106 samples/sec, CrossEntropy=2.803, SmoothL1=1.284
[Epoch 0][Batch 74], Speed: 22.425 samples/sec, CrossEntropy=2.810, SmoothL1=1.283
[Epoch 0][Batch 75], Speed: 22.713 samples/sec, CrossEntropy=2.802, SmoothL1=1.281
[Epoch 0][Batch 76], Speed: 22.901 samples/sec, CrossEntropy=2.795, SmoothL1=1.279
[Epoch 0][Batch 77], Speed: 7.276 samples/sec, CrossEntropy=2.788, SmoothL1=1.279
[Epoch 0][Batch 78], Speed: 20.532 samples/sec, CrossEntropy=2.779, SmoothL1=1.274
[Epoch 0][Batch 79], Speed: 21.558 samples/sec, CrossEntropy=2.772, SmoothL1=1.274
[Epoch 0][Batch 80], Speed: 22.881 samples/sec, CrossEntropy=2.767, SmoothL1=1.273
[Epoch 0][Batch 81], Speed: 19.476 samples/sec, CrossEntropy=2.759, SmoothL1=1.270
[Epoch 0][Batch 82], Speed: 21.961 samples/sec, CrossEntropy=2.755, SmoothL1=1.270
[Epoch 0][Batch 83], Speed: 22.085 samples/sec, CrossEntropy=2.748, SmoothL1=1.262
[Epoch 0][Batch 84], Speed: 20.387 samples/sec, CrossEntropy=2.741, SmoothL1=1.259
[Epoch 0][Batch 85], Speed: 22.409 samples/sec, CrossEntropy=2.737, SmoothL1=1.256
[Epoch 0][Batch 86], Speed: 22.312 samples/sec, CrossEntropy=2.731, SmoothL1=1.265
[Epoch 0][Batch 87], Speed: 20.079 samples/sec, CrossEntropy=2.724, SmoothL1=1.261
[Epoch 0][Batch 88], Speed: 10.729 samples/sec, CrossEntropy=2.716, SmoothL1=1.260
[Epoch 0][Batch 89], Speed: 23.184 samples/sec, CrossEntropy=2.709, SmoothL1=1.255
[Epoch 0][Batch 90], Speed: 25.211 samples/sec, CrossEntropy=2.703, SmoothL1=1.251
[Epoch 0][Batch 91], Speed: 22.180 samples/sec, CrossEntropy=2.697, SmoothL1=1.253
[Epoch 0][Batch 92], Speed: 24.468 samples/sec, CrossEntropy=2.693, SmoothL1=1.251
[Epoch 0][Batch 93], Speed: 23.901 samples/sec, CrossEntropy=2.687, SmoothL1=1.248
[Epoch 0][Batch 94], Speed: 20.742 samples/sec, CrossEntropy=2.682, SmoothL1=1.249
[Epoch 0][Batch 95], Speed: 14.258 samples/sec, CrossEntropy=2.677, SmoothL1=1.250
