Namespace(batch_size=16, data_shape=512, dataset='voc', epochs=20, gpus='0', log_interval=1, lr=0.01, lr_decay=0.1, lr_decay_epoch='160,200', momentum=0.9, network='resnet50_v1', num_workers=3, resume='', save_interval=100, save_prefix='16_0.01ssd_512_resnet50_v1_voc', seed=233, start_epoch=0, syncbn=False, val_interval=1, wd=0.0005)
Start training from [Epoch 0]
[Epoch 0][Batch 57], Speed: 8.492 samples/sec, CrossEntropy=34.968, SmoothL1=3.367
[Epoch 0][Batch 58], Speed: 24.727 samples/sec, CrossEntropy=34.595, SmoothL1=3.372
[Epoch 0][Batch 59], Speed: 21.593 samples/sec, CrossEntropy=34.105, SmoothL1=3.358
[Epoch 0][Batch 60], Speed: 21.844 samples/sec, CrossEntropy=33.816, SmoothL1=3.366
[Epoch 0][Batch 61], Speed: 20.997 samples/sec, CrossEntropy=33.388, SmoothL1=3.358
[Epoch 0][Batch 62], Speed: 22.423 samples/sec, CrossEntropy=33.022, SmoothL1=3.356
[Epoch 0][Batch 63], Speed: 20.521 samples/sec, CrossEntropy=32.569, SmoothL1=3.346
[Epoch 0][Batch 64], Speed: 22.076 samples/sec, CrossEntropy=32.118, SmoothL1=3.337
[Epoch 0][Batch 65], Speed: 16.031 samples/sec, CrossEntropy=31.679, SmoothL1=3.325
[Epoch 0][Batch 66], Speed: 22.890 samples/sec, CrossEntropy=31.256, SmoothL1=3.315
[Epoch 0][Batch 67], Speed: 22.570 samples/sec, CrossEntropy=30.855, SmoothL1=3.304
[Epoch 0][Batch 68], Speed: 10.097 samples/sec, CrossEntropy=30.615, SmoothL1=3.332
[Epoch 0][Batch 69], Speed: 23.050 samples/sec, CrossEntropy=30.229, SmoothL1=3.333
[Epoch 0][Batch 70], Speed: 22.718 samples/sec, CrossEntropy=29.961, SmoothL1=3.356
[Epoch 0][Batch 71], Speed: 20.371 samples/sec, CrossEntropy=29.584, SmoothL1=3.343
[Epoch 0][Batch 72], Speed: 22.074 samples/sec, CrossEntropy=29.232, SmoothL1=3.333
[Epoch 0][Batch 73], Speed: 22.365 samples/sec, CrossEntropy=28.890, SmoothL1=3.322
[Epoch 0][Batch 74], Speed: 20.589 samples/sec, CrossEntropy=28.551, SmoothL1=3.309
[Epoch 0][Batch 75], Speed: 22.874 samples/sec, CrossEntropy=28.241, SmoothL1=3.298
[Epoch 0][Batch 76], Speed: 18.057 samples/sec, CrossEntropy=27.921, SmoothL1=3.295
[Epoch 0][Batch 77], Speed: 23.090 samples/sec, CrossEntropy=27.605, SmoothL1=3.288
[Epoch 0][Batch 78], Speed: 15.403 samples/sec, CrossEntropy=27.319, SmoothL1=3.278
[Epoch 0][Batch 79], Speed: 16.512 samples/sec, CrossEntropy=27.018, SmoothL1=3.270
[Epoch 0][Batch 80], Speed: 22.262 samples/sec, CrossEntropy=26.727, SmoothL1=3.261
[Epoch 0][Batch 81], Speed: 22.613 samples/sec, CrossEntropy=26.474, SmoothL1=3.256
[Epoch 0][Batch 82], Speed: 15.732 samples/sec, CrossEntropy=26.196, SmoothL1=3.247
[Epoch 0][Batch 83], Speed: 21.388 samples/sec, CrossEntropy=25.929, SmoothL1=3.245
[Epoch 0][Batch 84], Speed: 21.824 samples/sec, CrossEntropy=25.755, SmoothL1=3.366
[Epoch 0][Batch 85], Speed: 20.251 samples/sec, CrossEntropy=25.486, SmoothL1=3.356
[Epoch 0][Batch 86], Speed: 22.191 samples/sec, CrossEntropy=25.225, SmoothL1=3.346
[Epoch 0][Batch 87], Speed: 21.358 samples/sec, CrossEntropy=24.977, SmoothL1=3.342
[Epoch 0][Batch 88], Speed: 24.956 samples/sec, CrossEntropy=24.729, SmoothL1=3.331
[Epoch 0][Batch 89], Speed: 21.112 samples/sec, CrossEntropy=24.496, SmoothL1=3.327
[Epoch 0][Batch 90], Speed: 21.965 samples/sec, CrossEntropy=24.263, SmoothL1=3.319
[Epoch 0][Batch 91], Speed: 17.792 samples/sec, CrossEntropy=24.038, SmoothL1=3.312
[Epoch 0][Batch 92], Speed: 23.859 samples/sec, CrossEntropy=23.966, SmoothL1=3.605
[Epoch 0][Batch 93], Speed: 12.363 samples/sec, CrossEntropy=23.749, SmoothL1=3.604
[Epoch 0][Batch 94], Speed: 22.715 samples/sec, CrossEntropy=23.536, SmoothL1=3.592
[Epoch 0][Batch 95], Speed: 21.584 samples/sec, CrossEntropy=23.319, SmoothL1=3.581
[Epoch 0][Batch 96], Speed: 21.274 samples/sec, CrossEntropy=23.113, SmoothL1=3.575
[Epoch 0][Batch 97], Speed: 16.910 samples/sec, CrossEntropy=22.914, SmoothL1=3.566
[Epoch 0][Batch 98], Speed: 21.276 samples/sec, CrossEntropy=22.713, SmoothL1=3.555
[Epoch 0][Batch 99], Speed: 22.289 samples/sec, CrossEntropy=22.613, SmoothL1=3.659
[Epoch 0][Batch 100], Speed: 21.970 samples/sec, CrossEntropy=22.422, SmoothL1=3.650
[Epoch 0][Batch 101], Speed: 20.861 samples/sec, CrossEntropy=22.235, SmoothL1=3.636
[Epoch 0][Batch 102], Speed: 21.999 samples/sec, CrossEntropy=22.076, SmoothL1=3.656
[Epoch 0][Batch 103], Speed: 22.875 samples/sec, CrossEntropy=21.898, SmoothL1=3.646
[Epoch 0][Batch 104], Speed: 13.340 samples/sec, CrossEntropy=21.719, SmoothL1=3.637
[Epoch 0][Batch 105], Speed: 20.622 samples/sec, CrossEntropy=21.572, SmoothL1=3.628
[Epoch 0][Batch 106], Speed: 22.132 samples/sec, CrossEntropy=21.408, SmoothL1=3.617
[Epoch 0][Batch 107], Speed: 20.483 samples/sec, CrossEntropy=21.295, SmoothL1=3.616
[Epoch 0][Batch 108], Speed: 23.053 samples/sec, CrossEntropy=21.129, SmoothL1=3.609
[Epoch 0][Batch 109], Speed: 22.497 samples/sec, CrossEntropy=20.967, SmoothL1=3.601
[Epoch 0][Batch 110], Speed: 20.835 samples/sec, CrossEntropy=20.801, SmoothL1=3.592
[Epoch 0][Batch 111], Speed: 22.583 samples/sec, CrossEntropy=20.643, SmoothL1=3.581
[Epoch 0][Batch 112], Speed: 22.369 samples/sec, CrossEntropy=20.491, SmoothL1=3.580
[Epoch 0][Batch 113], Speed: 20.141 samples/sec, CrossEntropy=20.372, SmoothL1=3.575
[Epoch 0][Batch 114], Speed: 21.607 samples/sec, CrossEntropy=20.218, SmoothL1=3.567
[Epoch 0][Batch 115], Speed: 21.333 samples/sec, CrossEntropy=20.066, SmoothL1=3.557
[Epoch 0][Batch 116], Speed: 14.640 samples/sec, CrossEntropy=20.010, SmoothL1=3.577
[Epoch 0][Batch 117], Speed: 23.065 samples/sec, CrossEntropy=19.864, SmoothL1=3.569
[Epoch 0][Batch 118], Speed: 5.605 samples/sec, CrossEntropy=19.726, SmoothL1=3.570
[Epoch 0][Batch 119], Speed: 20.815 samples/sec, CrossEntropy=19.596, SmoothL1=3.563
[Epoch 0][Batch 120], Speed: 22.309 samples/sec, CrossEntropy=19.468, SmoothL1=3.559
[Epoch 0][Batch 121], Speed: 22.983 samples/sec, CrossEntropy=19.332, SmoothL1=3.552
[Epoch 0][Batch 122], Speed: 21.062 samples/sec, CrossEntropy=19.200, SmoothL1=3.545
[Epoch 0][Batch 123], Speed: 24.922 samples/sec, CrossEntropy=19.069, SmoothL1=3.546
[Epoch 0][Batch 124], Speed: 20.881 samples/sec, CrossEntropy=18.948, SmoothL1=3.543
[Epoch 0][Batch 125], Speed: 23.015 samples/sec, CrossEntropy=18.818, SmoothL1=3.537
[Epoch 0][Batch 126], Speed: 21.710 samples/sec, CrossEntropy=18.700, SmoothL1=3.533
[Epoch 0][Batch 127], Speed: 29.621 samples/sec, CrossEntropy=18.575, SmoothL1=3.526
[Epoch 0][Batch 128], Speed: 35.582 samples/sec, CrossEntropy=18.478, SmoothL1=3.528
[Epoch 0][Batch 129], Speed: 35.475 samples/sec, CrossEntropy=18.464, SmoothL1=3.526
[Epoch 0][Batch 130], Speed: 35.647 samples/sec, CrossEntropy=18.343, SmoothL1=3.517
[Epoch 0] Training cost: 112.422, CrossEntropy=18.343, SmoothL1=3.517
[Epoch 0] Validation: 
smoke=0.0161090179081318
mAP=0.0161090179081318
[Epoch 1][Batch 0], Speed: 7.097 samples/sec, CrossEntropy=5.519, SmoothL1=5.201
[Epoch 1][Batch 1], Speed: 22.463 samples/sec, CrossEntropy=4.055, SmoothL1=3.774
[Epoch 1][Batch 2], Speed: 22.172 samples/sec, CrossEntropy=5.718, SmoothL1=3.713
