Namespace(batch_size=32, data_shape=512, dataset='voc', epochs=240, gpus='0', log_interval=1, lr=0.01, lr_decay=0.1, lr_decay_epoch='160,200', momentum=0.9, network='mobilenet1.0', num_workers=3, resume='', save_interval=2, save_prefix='ssd_512_mobilenet1.0_voc', seed=233, start_epoch=0, syncbn=False, val_interval=1, wd=0.0005)
Start training from [Epoch 0]
[Epoch 0][Batch 57], Speed: 52.853 samples/sec, CrossEntropy=7.085, SmoothL1=2.751
[Epoch 0][Batch 58], Speed: 26.757 samples/sec, CrossEntropy=7.008, SmoothL1=2.748
[Epoch 0][Batch 59], Speed: 13.350 samples/sec, CrossEntropy=6.962, SmoothL1=2.746
[Epoch 0][Batch 60], Speed: 21.399 samples/sec, CrossEntropy=6.899, SmoothL1=2.745
[Epoch 0][Batch 61], Speed: 45.754 samples/sec, CrossEntropy=6.853, SmoothL1=2.748
[Epoch 0][Batch 62], Speed: 19.839 samples/sec, CrossEntropy=6.799, SmoothL1=2.744
[Epoch 0][Batch 63], Speed: 71.845 samples/sec, CrossEntropy=6.741, SmoothL1=2.739
[Epoch 0][Batch 64], Speed: 55.282 samples/sec, CrossEntropy=6.679, SmoothL1=2.737
[Epoch 0] Training cost: 97.176, CrossEntropy=6.679, SmoothL1=2.737
[Epoch 0] Validation: 
smoke=0.06646099171698856
mAP=0.06646099171698856
[Epoch 1][Batch 0], Speed: 7.889 samples/sec, CrossEntropy=3.471, SmoothL1=2.589
[Epoch 1][Batch 1], Speed: 45.899 samples/sec, CrossEntropy=3.232, SmoothL1=2.602
[Epoch 1][Batch 2], Speed: 45.638 samples/sec, CrossEntropy=3.388, SmoothL1=2.609
[Epoch 1][Batch 3], Speed: 13.337 samples/sec, CrossEntropy=3.379, SmoothL1=2.694
[Epoch 1][Batch 4], Speed: 40.009 samples/sec, CrossEntropy=3.221, SmoothL1=2.642
[Epoch 1][Batch 5], Speed: 45.782 samples/sec, CrossEntropy=3.248, SmoothL1=2.631
[Epoch 1][Batch 6], Speed: 11.417 samples/sec, CrossEntropy=3.638, SmoothL1=2.603
[Epoch 1][Batch 7], Speed: 46.029 samples/sec, CrossEntropy=3.542, SmoothL1=2.590
[Epoch 1][Batch 8], Speed: 45.772 samples/sec, CrossEntropy=3.469, SmoothL1=2.579
[Epoch 1][Batch 9], Speed: 7.053 samples/sec, CrossEntropy=3.380, SmoothL1=2.582
[Epoch 1][Batch 10], Speed: 45.371 samples/sec, CrossEntropy=3.497, SmoothL1=2.580
[Epoch 1][Batch 11], Speed: 42.507 samples/sec, CrossEntropy=3.414, SmoothL1=2.575
[Epoch 1][Batch 12], Speed: 20.008 samples/sec, CrossEntropy=3.338, SmoothL1=2.578
[Epoch 1][Batch 13], Speed: 53.184 samples/sec, CrossEntropy=3.476, SmoothL1=2.580
[Epoch 1][Batch 14], Speed: 13.916 samples/sec, CrossEntropy=3.413, SmoothL1=2.598
[Epoch 1][Batch 15], Speed: 45.722 samples/sec, CrossEntropy=3.373, SmoothL1=2.606
[Epoch 1][Batch 16], Speed: 39.826 samples/sec, CrossEntropy=3.319, SmoothL1=2.612
[Epoch 1][Batch 17], Speed: 14.292 samples/sec, CrossEntropy=3.275, SmoothL1=2.622
[Epoch 1][Batch 18], Speed: 27.706 samples/sec, CrossEntropy=3.282, SmoothL1=2.632
[Epoch 1][Batch 19], Speed: 40.007 samples/sec, CrossEntropy=3.246, SmoothL1=2.630
[Epoch 1][Batch 20], Speed: 36.090 samples/sec, CrossEntropy=3.209, SmoothL1=2.621
[Epoch 1][Batch 21], Speed: 12.799 samples/sec, CrossEntropy=3.177, SmoothL1=2.611
[Epoch 1][Batch 22], Speed: 45.020 samples/sec, CrossEntropy=3.146, SmoothL1=2.615
[Epoch 1][Batch 23], Speed: 45.715 samples/sec, CrossEntropy=3.139, SmoothL1=2.609
[Epoch 1][Batch 24], Speed: 8.004 samples/sec, CrossEntropy=3.116, SmoothL1=2.606
[Epoch 1][Batch 25], Speed: 45.744 samples/sec, CrossEntropy=3.097, SmoothL1=2.608
[Epoch 1][Batch 26], Speed: 45.767 samples/sec, CrossEntropy=3.073, SmoothL1=2.609
[Epoch 1][Batch 27], Speed: 5.390 samples/sec, CrossEntropy=3.070, SmoothL1=2.608
[Epoch 1][Batch 28], Speed: 45.760 samples/sec, CrossEntropy=3.073, SmoothL1=2.607
[Epoch 1][Batch 29], Speed: 45.332 samples/sec, CrossEntropy=3.053, SmoothL1=2.608
[Epoch 1][Batch 30], Speed: 24.678 samples/sec, CrossEntropy=3.044, SmoothL1=2.612
[Epoch 1][Batch 31], Speed: 42.238 samples/sec, CrossEntropy=3.024, SmoothL1=2.610
[Epoch 1][Batch 32], Speed: 32.114 samples/sec, CrossEntropy=3.034, SmoothL1=2.603
[Epoch 1][Batch 33], Speed: 45.586 samples/sec, CrossEntropy=3.018, SmoothL1=2.598
[Epoch 1][Batch 34], Speed: 16.813 samples/sec, CrossEntropy=3.001, SmoothL1=2.600
[Epoch 1][Batch 35], Speed: 23.890 samples/sec, CrossEntropy=2.985, SmoothL1=2.591
[Epoch 1][Batch 36], Speed: 37.960 samples/sec, CrossEntropy=2.973, SmoothL1=2.591
[Epoch 1][Batch 37], Speed: 14.473 samples/sec, CrossEntropy=2.978, SmoothL1=2.586
[Epoch 1][Batch 38], Speed: 17.807 samples/sec, CrossEntropy=2.976, SmoothL1=2.588
[Epoch 1][Batch 39], Speed: 45.614 samples/sec, CrossEntropy=2.962, SmoothL1=2.584
[Epoch 1][Batch 40], Speed: 26.834 samples/sec, CrossEntropy=2.948, SmoothL1=2.585
[Epoch 1][Batch 41], Speed: 15.195 samples/sec, CrossEntropy=2.936, SmoothL1=2.581
[Epoch 1][Batch 42], Speed: 35.582 samples/sec, CrossEntropy=2.966, SmoothL1=2.577
[Epoch 1][Batch 43], Speed: 18.769 samples/sec, CrossEntropy=2.955, SmoothL1=2.576
[Epoch 1][Batch 44], Speed: 21.423 samples/sec, CrossEntropy=2.951, SmoothL1=2.570
[Epoch 1][Batch 45], Speed: 17.789 samples/sec, CrossEntropy=2.940, SmoothL1=2.574
[Epoch 1][Batch 46], Speed: 40.041 samples/sec, CrossEntropy=2.930, SmoothL1=2.573
[Epoch 1][Batch 47], Speed: 21.332 samples/sec, CrossEntropy=2.924, SmoothL1=2.573
[Epoch 1][Batch 48], Speed: 13.924 samples/sec, CrossEntropy=2.913, SmoothL1=2.569
[Epoch 1][Batch 49], Speed: 45.772 samples/sec, CrossEntropy=2.919, SmoothL1=2.566
[Epoch 1][Batch 50], Speed: 19.551 samples/sec, CrossEntropy=2.912, SmoothL1=2.565
