Namespace(batch_size=32, data_shape=512, dataset='voc', epochs=240, gpus='0', log_interval=1, lr=0.001, lr_decay=0.1, lr_decay_epoch='160,200', momentum=0.9, network='mobilenet1.0', num_workers=3, resume='', save_interval=100, save_prefix='ssd_512_mobilenet1.0_voc', seed=233, start_epoch=0, syncbn=False, val_interval=1, wd=0.0005)
Start training from [Epoch 0]
[Epoch 0][Batch 57], Speed: 49.678 samples/sec, CrossEntropy=3.120, SmoothL1=1.389
[Epoch 0][Batch 58], Speed: 42.361 samples/sec, CrossEntropy=3.109, SmoothL1=1.385
[Epoch 0][Batch 59], Speed: 11.282 samples/sec, CrossEntropy=3.097, SmoothL1=1.383
[Epoch 0][Batch 60], Speed: 17.723 samples/sec, CrossEntropy=3.084, SmoothL1=1.381
[Epoch 0][Batch 61], Speed: 49.349 samples/sec, CrossEntropy=3.072, SmoothL1=1.378
[Epoch 0][Batch 62], Speed: 66.873 samples/sec, CrossEntropy=3.061, SmoothL1=1.375
[Epoch 0][Batch 63], Speed: 12.134 samples/sec, CrossEntropy=3.048, SmoothL1=1.371
[Epoch 0][Batch 64], Speed: 74.721 samples/sec, CrossEntropy=3.036, SmoothL1=1.368
[Epoch 0] Training cost: 99.137, CrossEntropy=3.036, SmoothL1=1.368
[Epoch 0] Validation: 
smoke=0.5945603910940953
mAP=0.5945603910940953
[Epoch 1][Batch 0], Speed: 7.637 samples/sec, CrossEntropy=2.226, SmoothL1=0.995
[Epoch 1][Batch 1], Speed: 42.366 samples/sec, CrossEntropy=2.245, SmoothL1=1.112
[Epoch 1][Batch 2], Speed: 45.800 samples/sec, CrossEntropy=2.227, SmoothL1=1.071
[Epoch 1][Batch 3], Speed: 15.330 samples/sec, CrossEntropy=2.292, SmoothL1=1.097
[Epoch 1][Batch 4], Speed: 30.394 samples/sec, CrossEntropy=2.288, SmoothL1=1.119
[Epoch 1][Batch 5], Speed: 45.613 samples/sec, CrossEntropy=2.285, SmoothL1=1.128
[Epoch 1][Batch 6], Speed: 14.191 samples/sec, CrossEntropy=2.302, SmoothL1=1.137
[Epoch 1][Batch 7], Speed: 23.062 samples/sec, CrossEntropy=2.301, SmoothL1=1.142
[Epoch 1][Batch 8], Speed: 44.988 samples/sec, CrossEntropy=2.292, SmoothL1=1.130
[Epoch 1][Batch 9], Speed: 13.407 samples/sec, CrossEntropy=2.287, SmoothL1=1.115
[Epoch 1][Batch 10], Speed: 35.160 samples/sec, CrossEntropy=2.292, SmoothL1=1.112
[Epoch 1][Batch 11], Speed: 21.439 samples/sec, CrossEntropy=2.285, SmoothL1=1.109
[Epoch 1][Batch 12], Speed: 14.552 samples/sec, CrossEntropy=2.278, SmoothL1=1.090
[Epoch 1][Batch 13], Speed: 43.007 samples/sec, CrossEntropy=2.269, SmoothL1=1.078
[Epoch 1][Batch 14], Speed: 10.831 samples/sec, CrossEntropy=2.267, SmoothL1=1.085
[Epoch 1][Batch 15], Speed: 45.298 samples/sec, CrossEntropy=2.268, SmoothL1=1.086
[Epoch 1][Batch 16], Speed: 38.039 samples/sec, CrossEntropy=2.269, SmoothL1=1.081
[Epoch 1][Batch 17], Speed: 15.223 samples/sec, CrossEntropy=2.276, SmoothL1=1.090
[Epoch 1][Batch 18], Speed: 30.705 samples/sec, CrossEntropy=2.271, SmoothL1=1.084
[Epoch 1][Batch 19], Speed: 33.706 samples/sec, CrossEntropy=2.268, SmoothL1=1.085
[Epoch 1][Batch 20], Speed: 14.160 samples/sec, CrossEntropy=2.266, SmoothL1=1.083
[Epoch 1][Batch 21], Speed: 16.108 samples/sec, CrossEntropy=2.261, SmoothL1=1.081
[Epoch 1][Batch 22], Speed: 45.735 samples/sec, CrossEntropy=2.262, SmoothL1=1.079
[Epoch 1][Batch 23], Speed: 12.532 samples/sec, CrossEntropy=2.263, SmoothL1=1.078
[Epoch 1][Batch 24], Speed: 42.236 samples/sec, CrossEntropy=2.265, SmoothL1=1.086
[Epoch 1][Batch 25], Speed: 49.747 samples/sec, CrossEntropy=2.266, SmoothL1=1.085
[Epoch 1][Batch 26], Speed: 12.051 samples/sec, CrossEntropy=2.263, SmoothL1=1.081
[Epoch 1][Batch 27], Speed: 40.049 samples/sec, CrossEntropy=2.263, SmoothL1=1.088
[Epoch 1][Batch 28], Speed: 45.779 samples/sec, CrossEntropy=2.262, SmoothL1=1.084
[Epoch 1][Batch 29], Speed: 8.207 samples/sec, CrossEntropy=2.262, SmoothL1=1.086
[Epoch 1][Batch 30], Speed: 45.774 samples/sec, CrossEntropy=2.261, SmoothL1=1.085
[Epoch 1][Batch 31], Speed: 46.557 samples/sec, CrossEntropy=2.258, SmoothL1=1.077
[Epoch 1][Batch 32], Speed: 18.703 samples/sec, CrossEntropy=2.258, SmoothL1=1.076
[Epoch 1][Batch 33], Speed: 45.768 samples/sec, CrossEntropy=2.259, SmoothL1=1.080
[Epoch 1][Batch 34], Speed: 45.725 samples/sec, CrossEntropy=2.255, SmoothL1=1.077
[Epoch 1][Batch 35], Speed: 12.288 samples/sec, CrossEntropy=2.252, SmoothL1=1.074
[Epoch 1][Batch 36], Speed: 46.083 samples/sec, CrossEntropy=2.252, SmoothL1=1.069
[Epoch 1][Batch 37], Speed: 29.117 samples/sec, CrossEntropy=2.251, SmoothL1=1.072
[Epoch 1][Batch 38], Speed: 16.851 samples/sec, CrossEntropy=2.248, SmoothL1=1.071
[Epoch 1][Batch 39], Speed: 46.554 samples/sec, CrossEntropy=2.245, SmoothL1=1.069
[Epoch 1][Batch 40], Speed: 35.103 samples/sec, CrossEntropy=2.243, SmoothL1=1.067
[Epoch 1][Batch 41], Speed: 10.349 samples/sec, CrossEntropy=2.241, SmoothL1=1.065
[Epoch 1][Batch 42], Speed: 45.284 samples/sec, CrossEntropy=2.244, SmoothL1=1.076
[Epoch 1][Batch 43], Speed: 45.783 samples/sec, CrossEntropy=2.243, SmoothL1=1.074
[Epoch 1][Batch 44], Speed: 10.521 samples/sec, CrossEntropy=2.240, SmoothL1=1.069
[Epoch 1][Batch 45], Speed: 45.638 samples/sec, CrossEntropy=2.239, SmoothL1=1.069
