Namespace(batch_size=40, data_shape=512, dataset='voc', epochs=30, gpus='0,1', log_interval=1, lr=0.001, lr_decay=0.1, lr_decay_epoch='160,200', momentum=0.9, network='resnet50_v1', num_workers=6, resume='', save_interval=100, save_prefix='ssd_512_resnet50_v1_voc', seed=233, start_epoch=0, syncbn=False, val_interval=1, wd=0.0005)
Start training from [Epoch 0]
[Epoch 0][Batch 0], Speed: 3.113 samples/sec, CrossEntropy=8.055, SmoothL1=2.203
[Epoch 0][Batch 1], Speed: 64.511 samples/sec, CrossEntropy=7.034, SmoothL1=2.170
[Epoch 0][Batch 2], Speed: 66.766 samples/sec, CrossEntropy=6.372, SmoothL1=2.126
[Epoch 0][Batch 3], Speed: 60.272 samples/sec, CrossEntropy=5.954, SmoothL1=2.051
[Epoch 0][Batch 4], Speed: 51.415 samples/sec, CrossEntropy=5.647, SmoothL1=2.096
[Epoch 0][Batch 5], Speed: 44.340 samples/sec, CrossEntropy=5.423, SmoothL1=2.044
[Epoch 0][Batch 6], Speed: 41.816 samples/sec, CrossEntropy=5.212, SmoothL1=1.968
[Epoch 0][Batch 7], Speed: 39.759 samples/sec, CrossEntropy=5.050, SmoothL1=1.923
[Epoch 0][Batch 8], Speed: 38.730 samples/sec, CrossEntropy=4.893, SmoothL1=1.885
[Epoch 0][Batch 9], Speed: 37.468 samples/sec, CrossEntropy=4.745, SmoothL1=1.852
[Epoch 0][Batch 10], Speed: 38.263 samples/sec, CrossEntropy=4.617, SmoothL1=1.825
[Epoch 0][Batch 11], Speed: 35.088 samples/sec, CrossEntropy=4.508, SmoothL1=1.770
[Epoch 0][Batch 12], Speed: 39.469 samples/sec, CrossEntropy=4.398, SmoothL1=1.739
[Epoch 0][Batch 13], Speed: 39.400 samples/sec, CrossEntropy=4.306, SmoothL1=1.727
[Epoch 0][Batch 14], Speed: 37.014 samples/sec, CrossEntropy=4.213, SmoothL1=1.700
[Epoch 0][Batch 15], Speed: 36.041 samples/sec, CrossEntropy=4.132, SmoothL1=1.682
[Epoch 0][Batch 16], Speed: 39.344 samples/sec, CrossEntropy=4.060, SmoothL1=1.658
[Epoch 0][Batch 17], Speed: 37.195 samples/sec, CrossEntropy=3.993, SmoothL1=1.660
[Epoch 0][Batch 18], Speed: 39.301 samples/sec, CrossEntropy=3.932, SmoothL1=1.650
[Epoch 0][Batch 19], Speed: 39.655 samples/sec, CrossEntropy=3.873, SmoothL1=1.632
[Epoch 0][Batch 20], Speed: 40.055 samples/sec, CrossEntropy=3.812, SmoothL1=1.616
[Epoch 0][Batch 21], Speed: 37.249 samples/sec, CrossEntropy=3.762, SmoothL1=1.604
[Epoch 0][Batch 22], Speed: 40.443 samples/sec, CrossEntropy=3.709, SmoothL1=1.588
[Epoch 0][Batch 23], Speed: 39.460 samples/sec, CrossEntropy=3.661, SmoothL1=1.570
[Epoch 0][Batch 24], Speed: 38.986 samples/sec, CrossEntropy=3.614, SmoothL1=1.548
[Epoch 0][Batch 25], Speed: 40.717 samples/sec, CrossEntropy=3.571, SmoothL1=1.532
[Epoch 0][Batch 26], Speed: 39.611 samples/sec, CrossEntropy=3.534, SmoothL1=1.520
[Epoch 0][Batch 27], Speed: 38.265 samples/sec, CrossEntropy=3.497, SmoothL1=1.506
[Epoch 0][Batch 28], Speed: 40.031 samples/sec, CrossEntropy=3.463, SmoothL1=1.492
[Epoch 0][Batch 29], Speed: 38.821 samples/sec, CrossEntropy=3.433, SmoothL1=1.480
[Epoch 0][Batch 30], Speed: 37.162 samples/sec, CrossEntropy=3.402, SmoothL1=1.465
[Epoch 0][Batch 31], Speed: 39.284 samples/sec, CrossEntropy=3.373, SmoothL1=1.456
[Epoch 0][Batch 32], Speed: 21.352 samples/sec, CrossEntropy=3.344, SmoothL1=1.445
[Epoch 0][Batch 33], Speed: 36.680 samples/sec, CrossEntropy=3.318, SmoothL1=1.441
[Epoch 0][Batch 34], Speed: 39.760 samples/sec, CrossEntropy=3.295, SmoothL1=1.434
[Epoch 0][Batch 35], Speed: 39.466 samples/sec, CrossEntropy=3.270, SmoothL1=1.427
[Epoch 0][Batch 36], Speed: 40.359 samples/sec, CrossEntropy=3.250, SmoothL1=1.424
[Epoch 0][Batch 37], Speed: 36.976 samples/sec, CrossEntropy=3.226, SmoothL1=1.410
[Epoch 0][Batch 38], Speed: 38.430 samples/sec, CrossEntropy=3.203, SmoothL1=1.403
[Epoch 0][Batch 39], Speed: 40.076 samples/sec, CrossEntropy=3.182, SmoothL1=1.396
[Epoch 0][Batch 40], Speed: 26.770 samples/sec, CrossEntropy=3.160, SmoothL1=1.384
[Epoch 0][Batch 41], Speed: 37.509 samples/sec, CrossEntropy=3.138, SmoothL1=1.373
[Epoch 0][Batch 42], Speed: 42.050 samples/sec, CrossEntropy=3.117, SmoothL1=1.360
[Epoch 0][Batch 43], Speed: 38.483 samples/sec, CrossEntropy=3.101, SmoothL1=1.355
[Epoch 0][Batch 44], Speed: 40.030 samples/sec, CrossEntropy=3.084, SmoothL1=1.345
[Epoch 0][Batch 45], Speed: 43.969 samples/sec, CrossEntropy=3.067, SmoothL1=1.340
[Epoch 0][Batch 46], Speed: 49.934 samples/sec, CrossEntropy=3.050, SmoothL1=1.332
[Epoch 0][Batch 47], Speed: 21.881 samples/sec, CrossEntropy=3.033, SmoothL1=1.325
[Epoch 0][Batch 48], Speed: 69.911 samples/sec, CrossEntropy=3.018, SmoothL1=1.322
[Epoch 0][Batch 49], Speed: 69.931 samples/sec, CrossEntropy=3.003, SmoothL1=1.314
[Epoch 0][Batch 50], Speed: 69.194 samples/sec, CrossEntropy=2.989, SmoothL1=1.306
[Epoch 0][Batch 51], Speed: 69.049 samples/sec, CrossEntropy=2.976, SmoothL1=1.301
[Epoch 0] Training cost: 63.829, CrossEntropy=2.976, SmoothL1=1.301
[Epoch 0] Validation: 
smoke=0.745148724343754
mAP=0.745148724343754
[Epoch 1][Batch 0], Speed: 6.361 samples/sec, CrossEntropy=2.314, SmoothL1=1.069
[Epoch 1][Batch 1], Speed: 36.421 samples/sec, CrossEntropy=2.305, SmoothL1=1.049
[Epoch 1][Batch 2], Speed: 37.324 samples/sec, CrossEntropy=2.268, SmoothL1=1.032
[Epoch 1][Batch 3], Speed: 39.224 samples/sec, CrossEntropy=2.273, SmoothL1=1.029
[Epoch 1][Batch 4], Speed: 36.450 samples/sec, CrossEntropy=2.246, SmoothL1=1.053
[Epoch 1][Batch 5], Speed: 40.715 samples/sec, CrossEntropy=2.262, SmoothL1=1.043
[Epoch 1][Batch 6], Speed: 36.894 samples/sec, CrossEntropy=2.251, SmoothL1=1.027
[Epoch 1][Batch 7], Speed: 39.276 samples/sec, CrossEntropy=2.231, SmoothL1=1.012
[Epoch 1][Batch 8], Speed: 40.361 samples/sec, CrossEntropy=2.235, SmoothL1=1.029
[Epoch 1][Batch 9], Speed: 38.940 samples/sec, CrossEntropy=2.229, SmoothL1=1.025
[Epoch 1][Batch 10], Speed: 37.733 samples/sec, CrossEntropy=2.211, SmoothL1=1.001
