Namespace(batch_size=24, data_shape=512, dataset='voc', epochs=30, gpus='0,1', log_interval=1, lr=0.001, lr_decay=0.1, lr_decay_epoch='160,200', momentum=0.9, network='resnet50_v1', num_workers=6, resume='', save_interval=100, save_prefix='ssd_512_resnet50_v1_voc', seed=233, start_epoch=0, syncbn=False, val_interval=1, wd=0.0005)
Start training from [Epoch 0]
[Epoch 0][Batch 57], Speed: 37.268 samples/sec, CrossEntropy=2.941, SmoothL1=1.339
[Epoch 0][Batch 58], Speed: 34.938 samples/sec, CrossEntropy=2.930, SmoothL1=1.338
[Epoch 0][Batch 59], Speed: 24.568 samples/sec, CrossEntropy=2.917, SmoothL1=1.330
[Epoch 0][Batch 60], Speed: 37.411 samples/sec, CrossEntropy=2.907, SmoothL1=1.324
[Epoch 0][Batch 61], Speed: 36.854 samples/sec, CrossEntropy=2.899, SmoothL1=1.321
[Epoch 0][Batch 62], Speed: 35.165 samples/sec, CrossEntropy=2.889, SmoothL1=1.317
[Epoch 0][Batch 63], Speed: 34.823 samples/sec, CrossEntropy=2.880, SmoothL1=1.318
[Epoch 0][Batch 64], Speed: 35.656 samples/sec, CrossEntropy=2.868, SmoothL1=1.309
[Epoch 0][Batch 65], Speed: 31.751 samples/sec, CrossEntropy=2.860, SmoothL1=1.306
[Epoch 0][Batch 66], Speed: 32.398 samples/sec, CrossEntropy=2.851, SmoothL1=1.304
[Epoch 0][Batch 67], Speed: 38.136 samples/sec, CrossEntropy=2.840, SmoothL1=1.297
[Epoch 0][Batch 68], Speed: 35.117 samples/sec, CrossEntropy=2.830, SmoothL1=1.293
[Epoch 0][Batch 69], Speed: 38.139 samples/sec, CrossEntropy=2.821, SmoothL1=1.295
[Epoch 0][Batch 70], Speed: 34.946 samples/sec, CrossEntropy=2.813, SmoothL1=1.294
[Epoch 0][Batch 71], Speed: 22.160 samples/sec, CrossEntropy=2.803, SmoothL1=1.289
[Epoch 0][Batch 72], Speed: 35.066 samples/sec, CrossEntropy=2.797, SmoothL1=1.288
[Epoch 0][Batch 73], Speed: 34.642 samples/sec, CrossEntropy=2.787, SmoothL1=1.281
[Epoch 0][Batch 74], Speed: 38.805 samples/sec, CrossEntropy=2.778, SmoothL1=1.275
[Epoch 0][Batch 75], Speed: 35.300 samples/sec, CrossEntropy=2.771, SmoothL1=1.273
[Epoch 0][Batch 76], Speed: 36.984 samples/sec, CrossEntropy=2.764, SmoothL1=1.270
[Epoch 0][Batch 77], Speed: 32.066 samples/sec, CrossEntropy=2.758, SmoothL1=1.268
[Epoch 0][Batch 78], Speed: 38.812 samples/sec, CrossEntropy=2.750, SmoothL1=1.265
[Epoch 0][Batch 79], Speed: 37.371 samples/sec, CrossEntropy=2.744, SmoothL1=1.262
[Epoch 0][Batch 80], Speed: 11.448 samples/sec, CrossEntropy=2.737, SmoothL1=1.261
[Epoch 0][Batch 81], Speed: 64.641 samples/sec, CrossEntropy=2.731, SmoothL1=1.261
[Epoch 0][Batch 82], Speed: 63.959 samples/sec, CrossEntropy=2.723, SmoothL1=1.256
[Epoch 0][Batch 83], Speed: 66.057 samples/sec, CrossEntropy=2.718, SmoothL1=1.252
[Epoch 0][Batch 84], Speed: 65.427 samples/sec, CrossEntropy=2.710, SmoothL1=1.247
[Epoch 0][Batch 85], Speed: 64.855 samples/sec, CrossEntropy=2.704, SmoothL1=1.244
[Epoch 0][Batch 86], Speed: 63.453 samples/sec, CrossEntropy=2.698, SmoothL1=1.240
[Epoch 0] Training cost: 68.401, CrossEntropy=2.698, SmoothL1=1.240
[Epoch 0] Validation: 
smoke=0.7387804451795759
mAP=0.7387804451795759
[Epoch 1][Batch 0], Speed: 6.559 samples/sec, CrossEntropy=2.265, SmoothL1=0.997
[Epoch 1][Batch 1], Speed: 35.060 samples/sec, CrossEntropy=2.244, SmoothL1=0.994
[Epoch 1][Batch 2], Speed: 34.549 samples/sec, CrossEntropy=2.207, SmoothL1=0.942
[Epoch 1][Batch 3], Speed: 35.161 samples/sec, CrossEntropy=2.159, SmoothL1=0.891
[Epoch 1][Batch 4], Speed: 26.196 samples/sec, CrossEntropy=2.177, SmoothL1=0.912
[Epoch 1][Batch 5], Speed: 31.060 samples/sec, CrossEntropy=2.192, SmoothL1=0.927
[Epoch 1][Batch 6], Speed: 33.193 samples/sec, CrossEntropy=2.216, SmoothL1=0.947
[Epoch 1][Batch 7], Speed: 33.693 samples/sec, CrossEntropy=2.215, SmoothL1=0.967
[Epoch 1][Batch 8], Speed: 34.520 samples/sec, CrossEntropy=2.239, SmoothL1=0.985
[Epoch 1][Batch 9], Speed: 34.409 samples/sec, CrossEntropy=2.230, SmoothL1=0.985
