Namespace(batch_size=16, data_shape=512, dataset='voc', epochs=30, gpus='0', log_interval=1, lr=0.001, lr_decay=0.1, lr_decay_epoch='160,200', momentum=0.9, network='resnet50_v1', num_workers=3, resume='', save_interval=100, save_prefix='ssd_512_resnet50_v1_voc', seed=233, start_epoch=0, syncbn=False, val_interval=1, wd=0.0005)
Start training from [Epoch 0]
[Epoch 0][Batch 0], Speed: 1.769 samples/sec, CrossEntropy=8.045, SmoothL1=1.955
[Epoch 0][Batch 1], Speed: 34.994 samples/sec, CrossEntropy=6.948, SmoothL1=2.557
[Epoch 0][Batch 2], Speed: 29.357 samples/sec, CrossEntropy=6.392, SmoothL1=2.341
[Epoch 0][Batch 3], Speed: 22.592 samples/sec, CrossEntropy=5.957, SmoothL1=2.216
[Epoch 0][Batch 4], Speed: 22.383 samples/sec, CrossEntropy=5.681, SmoothL1=2.181
[Epoch 0][Batch 5], Speed: 20.640 samples/sec, CrossEntropy=5.446, SmoothL1=2.077
[Epoch 0][Batch 6], Speed: 20.192 samples/sec, CrossEntropy=5.228, SmoothL1=2.056
[Epoch 0][Batch 7], Speed: 23.401 samples/sec, CrossEntropy=5.046, SmoothL1=1.998
[Epoch 0][Batch 8], Speed: 21.620 samples/sec, CrossEntropy=4.903, SmoothL1=1.996
[Epoch 0][Batch 9], Speed: 22.827 samples/sec, CrossEntropy=4.793, SmoothL1=1.911
[Epoch 0][Batch 10], Speed: 21.935 samples/sec, CrossEntropy=4.668, SmoothL1=1.860
[Epoch 0][Batch 11], Speed: 21.462 samples/sec, CrossEntropy=4.551, SmoothL1=1.857
[Epoch 0][Batch 12], Speed: 20.911 samples/sec, CrossEntropy=4.441, SmoothL1=1.842
[Epoch 0][Batch 13], Speed: 22.427 samples/sec, CrossEntropy=4.342, SmoothL1=1.796
[Epoch 0][Batch 14], Speed: 22.164 samples/sec, CrossEntropy=4.263, SmoothL1=1.778
[Epoch 0][Batch 15], Speed: 20.992 samples/sec, CrossEntropy=4.197, SmoothL1=1.734
[Epoch 0][Batch 16], Speed: 24.571 samples/sec, CrossEntropy=4.117, SmoothL1=1.703
[Epoch 0][Batch 17], Speed: 24.399 samples/sec, CrossEntropy=4.034, SmoothL1=1.655
[Epoch 0][Batch 18], Speed: 10.003 samples/sec, CrossEntropy=3.983, SmoothL1=1.635
[Epoch 0][Batch 19], Speed: 20.525 samples/sec, CrossEntropy=3.927, SmoothL1=1.620
[Epoch 0][Batch 20], Speed: 22.597 samples/sec, CrossEntropy=3.875, SmoothL1=1.620
[Epoch 0][Batch 21], Speed: 22.659 samples/sec, CrossEntropy=3.820, SmoothL1=1.600
[Epoch 0][Batch 22], Speed: 22.552 samples/sec, CrossEntropy=3.769, SmoothL1=1.589
[Epoch 0][Batch 23], Speed: 22.313 samples/sec, CrossEntropy=3.722, SmoothL1=1.562
[Epoch 0][Batch 24], Speed: 8.006 samples/sec, CrossEntropy=3.689, SmoothL1=1.565
[Epoch 0][Batch 25], Speed: 21.060 samples/sec, CrossEntropy=3.647, SmoothL1=1.546
[Epoch 0][Batch 26], Speed: 22.402 samples/sec, CrossEntropy=3.615, SmoothL1=1.540
[Epoch 0][Batch 27], Speed: 21.983 samples/sec, CrossEntropy=3.579, SmoothL1=1.528
[Epoch 0][Batch 28], Speed: 20.081 samples/sec, CrossEntropy=3.549, SmoothL1=1.521
[Epoch 0][Batch 29], Speed: 20.111 samples/sec, CrossEntropy=3.513, SmoothL1=1.510
[Epoch 0][Batch 30], Speed: 20.983 samples/sec, CrossEntropy=3.481, SmoothL1=1.505
[Epoch 0][Batch 31], Speed: 21.769 samples/sec, CrossEntropy=3.451, SmoothL1=1.492
[Epoch 0][Batch 32], Speed: 20.869 samples/sec, CrossEntropy=3.430, SmoothL1=1.476
[Epoch 0][Batch 33], Speed: 22.310 samples/sec, CrossEntropy=3.405, SmoothL1=1.474
[Epoch 0][Batch 34], Speed: 20.188 samples/sec, CrossEntropy=3.382, SmoothL1=1.478
[Epoch 0][Batch 35], Speed: 22.670 samples/sec, CrossEntropy=3.355, SmoothL1=1.466
[Epoch 0][Batch 36], Speed: 20.187 samples/sec, CrossEntropy=3.329, SmoothL1=1.461
[Epoch 0][Batch 37], Speed: 22.477 samples/sec, CrossEntropy=3.306, SmoothL1=1.452
[Epoch 0][Batch 38], Speed: 19.949 samples/sec, CrossEntropy=3.284, SmoothL1=1.449
[Epoch 0][Batch 39], Speed: 17.787 samples/sec, CrossEntropy=3.263, SmoothL1=1.437
[Epoch 0][Batch 40], Speed: 20.649 samples/sec, CrossEntropy=3.241, SmoothL1=1.425
[Epoch 0][Batch 41], Speed: 21.654 samples/sec, CrossEntropy=3.221, SmoothL1=1.425
[Epoch 0][Batch 42], Speed: 20.671 samples/sec, CrossEntropy=3.201, SmoothL1=1.414
[Epoch 0][Batch 43], Speed: 23.144 samples/sec, CrossEntropy=3.184, SmoothL1=1.412
[Epoch 0][Batch 44], Speed: 23.476 samples/sec, CrossEntropy=3.167, SmoothL1=1.409
[Epoch 0][Batch 45], Speed: 22.274 samples/sec, CrossEntropy=3.150, SmoothL1=1.406
[Epoch 0][Batch 46], Speed: 5.973 samples/sec, CrossEntropy=3.137, SmoothL1=1.404
[Epoch 0][Batch 47], Speed: 22.575 samples/sec, CrossEntropy=3.122, SmoothL1=1.408
[Epoch 0][Batch 48], Speed: 22.038 samples/sec, CrossEntropy=3.108, SmoothL1=1.405
[Epoch 0][Batch 49], Speed: 20.427 samples/sec, CrossEntropy=3.098, SmoothL1=1.399
[Epoch 0][Batch 50], Speed: 12.161 samples/sec, CrossEntropy=3.079, SmoothL1=1.388
[Epoch 0][Batch 51], Speed: 20.036 samples/sec, CrossEntropy=3.067, SmoothL1=1.386
[Epoch 0][Batch 52], Speed: 22.455 samples/sec, CrossEntropy=3.056, SmoothL1=1.399
[Epoch 0][Batch 53], Speed: 21.156 samples/sec, CrossEntropy=3.043, SmoothL1=1.398
[Epoch 0][Batch 54], Speed: 21.930 samples/sec, CrossEntropy=3.032, SmoothL1=1.397
[Epoch 0][Batch 55], Speed: 22.231 samples/sec, CrossEntropy=3.020, SmoothL1=1.395
[Epoch 0][Batch 56], Speed: 20.854 samples/sec, CrossEntropy=3.007, SmoothL1=1.387
[Epoch 0][Batch 57], Speed: 15.906 samples/sec, CrossEntropy=2.994, SmoothL1=1.389
[Epoch 0][Batch 58], Speed: 18.469 samples/sec, CrossEntropy=2.986, SmoothL1=1.391
[Epoch 0][Batch 59], Speed: 22.707 samples/sec, CrossEntropy=2.973, SmoothL1=1.388
[Epoch 0][Batch 60], Speed: 19.272 samples/sec, CrossEntropy=2.961, SmoothL1=1.383
[Epoch 0][Batch 61], Speed: 20.539 samples/sec, CrossEntropy=2.948, SmoothL1=1.381
[Epoch 0][Batch 62], Speed: 22.254 samples/sec, CrossEntropy=2.937, SmoothL1=1.375
[Epoch 0][Batch 63], Speed: 20.962 samples/sec, CrossEntropy=2.925, SmoothL1=1.372
[Epoch 0][Batch 64], Speed: 20.044 samples/sec, CrossEntropy=2.913, SmoothL1=1.365
