Namespace(batch_size=8, data_shape=512, dataset='voc', epochs=30, gpus='0', log_interval=1, lr=0.001, lr_decay=0.1, lr_decay_epoch='160,200', momentum=0.9, network='resnet50_v1', num_workers=3, resume='', save_interval=100, save_prefix='ssd_512_resnet50_v1_voc', seed=233, start_epoch=0, syncbn=False, val_interval=1, wd=0.0005)
Start training from [Epoch 0]
[Epoch 0][Batch 58], Speed: 20.103 samples/sec, CrossEntropy=3.081, SmoothL1=1.521
[Epoch 0][Batch 59], Speed: 19.344 samples/sec, CrossEntropy=3.073, SmoothL1=1.515
[Epoch 0][Batch 60], Speed: 16.375 samples/sec, CrossEntropy=3.068, SmoothL1=1.516
[Epoch 0][Batch 61], Speed: 21.019 samples/sec, CrossEntropy=3.057, SmoothL1=1.509
[Epoch 0][Batch 62], Speed: 24.068 samples/sec, CrossEntropy=3.045, SmoothL1=1.500
[Epoch 0][Batch 63], Speed: 11.236 samples/sec, CrossEntropy=3.034, SmoothL1=1.503
[Epoch 0][Batch 64], Speed: 19.814 samples/sec, CrossEntropy=3.026, SmoothL1=1.502
[Epoch 0][Batch 65], Speed: 20.590 samples/sec, CrossEntropy=3.016, SmoothL1=1.497
[Epoch 0][Batch 66], Speed: 17.682 samples/sec, CrossEntropy=3.010, SmoothL1=1.502
[Epoch 0][Batch 67], Speed: 24.281 samples/sec, CrossEntropy=3.002, SmoothL1=1.498
[Epoch 0][Batch 68], Speed: 19.437 samples/sec, CrossEntropy=2.997, SmoothL1=1.494
[Epoch 0][Batch 69], Speed: 21.101 samples/sec, CrossEntropy=2.990, SmoothL1=1.495
[Epoch 0][Batch 70], Speed: 19.493 samples/sec, CrossEntropy=2.984, SmoothL1=1.489
[Epoch 0][Batch 71], Speed: 20.430 samples/sec, CrossEntropy=2.974, SmoothL1=1.489
[Epoch 0][Batch 72], Speed: 20.218 samples/sec, CrossEntropy=2.966, SmoothL1=1.492
[Epoch 0][Batch 73], Speed: 20.773 samples/sec, CrossEntropy=2.958, SmoothL1=1.489
[Epoch 0][Batch 74], Speed: 20.438 samples/sec, CrossEntropy=2.951, SmoothL1=1.491
[Epoch 0][Batch 75], Speed: 11.146 samples/sec, CrossEntropy=2.943, SmoothL1=1.488
[Epoch 0][Batch 76], Speed: 19.034 samples/sec, CrossEntropy=2.940, SmoothL1=1.495
[Epoch 0][Batch 77], Speed: 26.777 samples/sec, CrossEntropy=2.930, SmoothL1=1.491
[Epoch 0][Batch 78], Speed: 24.286 samples/sec, CrossEntropy=2.924, SmoothL1=1.486
[Epoch 0][Batch 79], Speed: 22.912 samples/sec, CrossEntropy=2.918, SmoothL1=1.484
