Namespace(batch_size=32, data_shape=512, dataset='voc', epochs=30, gpus='0,1', log_interval=1, lr=0.001, lr_decay=0.1, lr_decay_epoch='160,200', momentum=0.9, network='resnet50_v1', num_workers=6, resume='', save_interval=100, save_prefix='ssd_512_resnet50_v1_voc', seed=233, start_epoch=0, syncbn=False, val_interval=1, wd=0.0005)
Start training from [Epoch 0]
[Epoch 0][Batch 0], Speed: 2.678 samples/sec, CrossEntropy=7.846, SmoothL1=2.590
[Epoch 0][Batch 1], Speed: 62.662 samples/sec, CrossEntropy=6.957, SmoothL1=2.395
[Epoch 0][Batch 2], Speed: 65.424 samples/sec, CrossEntropy=6.400, SmoothL1=2.214
[Epoch 0][Batch 3], Speed: 61.611 samples/sec, CrossEntropy=5.953, SmoothL1=2.223
[Epoch 0][Batch 4], Speed: 49.581 samples/sec, CrossEntropy=5.656, SmoothL1=2.140
[Epoch 0][Batch 5], Speed: 44.102 samples/sec, CrossEntropy=5.407, SmoothL1=2.106
[Epoch 0][Batch 6], Speed: 38.293 samples/sec, CrossEntropy=5.213, SmoothL1=2.092
[Epoch 0][Batch 7], Speed: 36.402 samples/sec, CrossEntropy=5.031, SmoothL1=2.023
[Epoch 0][Batch 8], Speed: 49.301 samples/sec, CrossEntropy=4.882, SmoothL1=1.943
[Epoch 0][Batch 9], Speed: 43.694 samples/sec, CrossEntropy=4.751, SmoothL1=1.927
[Epoch 0][Batch 10], Speed: 38.917 samples/sec, CrossEntropy=4.627, SmoothL1=1.880
[Epoch 0][Batch 11], Speed: 36.195 samples/sec, CrossEntropy=4.517, SmoothL1=1.838
[Epoch 0][Batch 12], Speed: 39.542 samples/sec, CrossEntropy=4.416, SmoothL1=1.837
[Epoch 0][Batch 13], Speed: 51.131 samples/sec, CrossEntropy=4.325, SmoothL1=1.790
[Epoch 0][Batch 14], Speed: 37.302 samples/sec, CrossEntropy=4.231, SmoothL1=1.765
[Epoch 0][Batch 15], Speed: 35.559 samples/sec, CrossEntropy=4.148, SmoothL1=1.734
[Epoch 0][Batch 16], Speed: 35.311 samples/sec, CrossEntropy=4.071, SmoothL1=1.709
[Epoch 0][Batch 17], Speed: 38.257 samples/sec, CrossEntropy=3.996, SmoothL1=1.690
[Epoch 0][Batch 18], Speed: 36.424 samples/sec, CrossEntropy=3.931, SmoothL1=1.667
[Epoch 0][Batch 19], Speed: 35.951 samples/sec, CrossEntropy=3.867, SmoothL1=1.644
[Epoch 0][Batch 20], Speed: 36.837 samples/sec, CrossEntropy=3.807, SmoothL1=1.627
[Epoch 0][Batch 21], Speed: 42.814 samples/sec, CrossEntropy=3.758, SmoothL1=1.598
[Epoch 0][Batch 22], Speed: 37.269 samples/sec, CrossEntropy=3.716, SmoothL1=1.597
[Epoch 0][Batch 23], Speed: 37.937 samples/sec, CrossEntropy=3.669, SmoothL1=1.601
[Epoch 0][Batch 24], Speed: 39.587 samples/sec, CrossEntropy=3.626, SmoothL1=1.592
[Epoch 0][Batch 25], Speed: 35.952 samples/sec, CrossEntropy=3.582, SmoothL1=1.570
[Epoch 0][Batch 26], Speed: 38.935 samples/sec, CrossEntropy=3.551, SmoothL1=1.563
[Epoch 0][Batch 27], Speed: 39.703 samples/sec, CrossEntropy=3.514, SmoothL1=1.546
[Epoch 0][Batch 28], Speed: 35.786 samples/sec, CrossEntropy=3.484, SmoothL1=1.537
[Epoch 0][Batch 29], Speed: 35.855 samples/sec, CrossEntropy=3.451, SmoothL1=1.529
[Epoch 0][Batch 30], Speed: 36.278 samples/sec, CrossEntropy=3.416, SmoothL1=1.511
[Epoch 0][Batch 31], Speed: 38.695 samples/sec, CrossEntropy=3.388, SmoothL1=1.499
[Epoch 0][Batch 32], Speed: 39.609 samples/sec, CrossEntropy=3.358, SmoothL1=1.481
[Epoch 0][Batch 33], Speed: 40.190 samples/sec, CrossEntropy=3.330, SmoothL1=1.465
[Epoch 0][Batch 34], Speed: 36.369 samples/sec, CrossEntropy=3.302, SmoothL1=1.458
[Epoch 0][Batch 35], Speed: 38.914 samples/sec, CrossEntropy=3.277, SmoothL1=1.448
[Epoch 0][Batch 36], Speed: 35.967 samples/sec, CrossEntropy=3.253, SmoothL1=1.443
[Epoch 0][Batch 37], Speed: 35.960 samples/sec, CrossEntropy=3.231, SmoothL1=1.437
[Epoch 0][Batch 38], Speed: 36.091 samples/sec, CrossEntropy=3.209, SmoothL1=1.430
[Epoch 0][Batch 39], Speed: 36.440 samples/sec, CrossEntropy=3.189, SmoothL1=1.424
[Epoch 0][Batch 40], Speed: 40.089 samples/sec, CrossEntropy=3.170, SmoothL1=1.417
[Epoch 0][Batch 41], Speed: 38.359 samples/sec, CrossEntropy=3.153, SmoothL1=1.410
[Epoch 0][Batch 42], Speed: 36.009 samples/sec, CrossEntropy=3.136, SmoothL1=1.403
[Epoch 0][Batch 43], Speed: 38.676 samples/sec, CrossEntropy=3.118, SmoothL1=1.396
[Epoch 0][Batch 44], Speed: 36.862 samples/sec, CrossEntropy=3.101, SmoothL1=1.391
[Epoch 0][Batch 45], Speed: 38.990 samples/sec, CrossEntropy=3.086, SmoothL1=1.386
