Namespace(batch_size=32, data_shape=512, dataset='voc', epochs=240, gpus='0', log_interval=1, lr=0.001, lr_decay=0.1, lr_decay_epoch='160,200', momentum=0.9, network='resnet50_v1', num_workers=3, resume='', save_interval=100, save_prefix='ssd_512_resnet50_v1_voc', seed=233, start_epoch=0, syncbn=False, val_interval=1, wd=0.0005)
Start training from [Epoch 0]
Namespace(batch_size=32, data_shape=512, dataset='voc', epochs=240, gpus='0', log_interval=1, lr=0.001, lr_decay=0.1, lr_decay_epoch='160,200', momentum=0.9, network='resnet50_v1', num_workers=3, resume='', save_interval=100, save_prefix='ssd_512_resnet50_v1_voc', seed=233, start_epoch=0, syncbn=False, val_interval=1, wd=0.0005)
Start training from [Epoch 0]
Namespace(batch_size=16, data_shape=512, dataset='voc', epochs=240, gpus='0', log_interval=1, lr=0.001, lr_decay=0.1, lr_decay_epoch='160,200', momentum=0.9, network='resnet50_v1', num_workers=3, resume='', save_interval=100, save_prefix='ssd_512_resnet50_v1_voc', seed=233, start_epoch=0, syncbn=False, val_interval=1, wd=0.0005)
Start training from [Epoch 0]
[Epoch 0][Batch 50], Speed: 20.023 samples/sec, CrossEntropy=3.068, SmoothL1=1.415
[Epoch 0][Batch 51], Speed: 22.865 samples/sec, CrossEntropy=3.056, SmoothL1=1.411
[Epoch 0][Batch 52], Speed: 22.178 samples/sec, CrossEntropy=3.045, SmoothL1=1.417
[Epoch 0][Batch 53], Speed: 23.161 samples/sec, CrossEntropy=3.035, SmoothL1=1.416
[Epoch 0][Batch 54], Speed: 22.041 samples/sec, CrossEntropy=3.024, SmoothL1=1.412
[Epoch 0][Batch 55], Speed: 21.681 samples/sec, CrossEntropy=3.013, SmoothL1=1.404
[Epoch 0][Batch 56], Speed: 21.576 samples/sec, CrossEntropy=2.998, SmoothL1=1.398
[Epoch 0][Batch 57], Speed: 19.905 samples/sec, CrossEntropy=2.983, SmoothL1=1.392
[Epoch 0][Batch 58], Speed: 20.133 samples/sec, CrossEntropy=2.973, SmoothL1=1.396
[Epoch 0][Batch 59], Speed: 21.010 samples/sec, CrossEntropy=2.963, SmoothL1=1.394
[Epoch 0][Batch 60], Speed: 21.674 samples/sec, CrossEntropy=2.952, SmoothL1=1.389
[Epoch 0][Batch 61], Speed: 20.077 samples/sec, CrossEntropy=2.940, SmoothL1=1.380
[Epoch 0][Batch 62], Speed: 20.236 samples/sec, CrossEntropy=2.931, SmoothL1=1.373
[Epoch 0][Batch 63], Speed: 20.401 samples/sec, CrossEntropy=2.921, SmoothL1=1.368
[Epoch 0][Batch 64], Speed: 19.663 samples/sec, CrossEntropy=2.908, SmoothL1=1.360
[Epoch 0][Batch 65], Speed: 20.613 samples/sec, CrossEntropy=2.898, SmoothL1=1.358
[Epoch 0][Batch 66], Speed: 19.824 samples/sec, CrossEntropy=2.887, SmoothL1=1.350
[Epoch 0][Batch 67], Speed: 20.228 samples/sec, CrossEntropy=2.880, SmoothL1=1.344
[Epoch 0][Batch 68], Speed: 22.622 samples/sec, CrossEntropy=2.872, SmoothL1=1.340
[Epoch 0][Batch 69], Speed: 21.757 samples/sec, CrossEntropy=2.863, SmoothL1=1.338
[Epoch 0][Batch 70], Speed: 20.248 samples/sec, CrossEntropy=2.854, SmoothL1=1.331
[Epoch 0][Batch 71], Speed: 20.142 samples/sec, CrossEntropy=2.845, SmoothL1=1.325
[Epoch 0][Batch 72], Speed: 20.472 samples/sec, CrossEntropy=2.839, SmoothL1=1.324
[Epoch 0][Batch 73], Speed: 21.783 samples/sec, CrossEntropy=2.831, SmoothL1=1.318
[Epoch 0][Batch 74], Speed: 20.495 samples/sec, CrossEntropy=2.823, SmoothL1=1.313
[Epoch 0][Batch 75], Speed: 22.508 samples/sec, CrossEntropy=2.815, SmoothL1=1.310
[Epoch 0][Batch 76], Speed: 21.336 samples/sec, CrossEntropy=2.807, SmoothL1=1.309
[Epoch 0][Batch 77], Speed: 21.975 samples/sec, CrossEntropy=2.799, SmoothL1=1.303
[Epoch 0][Batch 78], Speed: 20.679 samples/sec, CrossEntropy=2.794, SmoothL1=1.301
[Epoch 0][Batch 79], Speed: 12.858 samples/sec, CrossEntropy=2.786, SmoothL1=1.298
[Epoch 0][Batch 80], Speed: 20.786 samples/sec, CrossEntropy=2.779, SmoothL1=1.294
[Epoch 0][Batch 81], Speed: 23.047 samples/sec, CrossEntropy=2.774, SmoothL1=1.294
[Epoch 0][Batch 82], Speed: 22.701 samples/sec, CrossEntropy=2.767, SmoothL1=1.290
[Epoch 0][Batch 83], Speed: 22.205 samples/sec, CrossEntropy=2.759, SmoothL1=1.284
[Epoch 0][Batch 84], Speed: 9.034 samples/sec, CrossEntropy=2.753, SmoothL1=1.284
[Epoch 0][Batch 85], Speed: 21.986 samples/sec, CrossEntropy=2.749, SmoothL1=1.280
[Epoch 0][Batch 86], Speed: 19.824 samples/sec, CrossEntropy=2.740, SmoothL1=1.276
[Epoch 0][Batch 87], Speed: 21.517 samples/sec, CrossEntropy=2.735, SmoothL1=1.271
[Epoch 0][Batch 88], Speed: 21.882 samples/sec, CrossEntropy=2.730, SmoothL1=1.269
[Epoch 0][Batch 89], Speed: 20.711 samples/sec, CrossEntropy=2.725, SmoothL1=1.266
[Epoch 0][Batch 90], Speed: 22.751 samples/sec, CrossEntropy=2.721, SmoothL1=1.264
[Epoch 0][Batch 91], Speed: 22.556 samples/sec, CrossEntropy=2.714, SmoothL1=1.259
[Epoch 0][Batch 92], Speed: 22.406 samples/sec, CrossEntropy=2.707, SmoothL1=1.261
[Epoch 0][Batch 93], Speed: 12.404 samples/sec, CrossEntropy=2.700, SmoothL1=1.257
[Epoch 0][Batch 94], Speed: 22.166 samples/sec, CrossEntropy=2.695, SmoothL1=1.256
[Epoch 0][Batch 95], Speed: 20.591 samples/sec, CrossEntropy=2.690, SmoothL1=1.258
[Epoch 0][Batch 96], Speed: 20.036 samples/sec, CrossEntropy=2.684, SmoothL1=1.252
[Epoch 0][Batch 97], Speed: 21.795 samples/sec, CrossEntropy=2.678, SmoothL1=1.246
[Epoch 0][Batch 98], Speed: 21.081 samples/sec, CrossEntropy=2.672, SmoothL1=1.243
[Epoch 0][Batch 99], Speed: 22.697 samples/sec, CrossEntropy=2.667, SmoothL1=1.241
[Epoch 0][Batch 100], Speed: 20.670 samples/sec, CrossEntropy=2.661, SmoothL1=1.235
[Epoch 0][Batch 101], Speed: 11.763 samples/sec, CrossEntropy=2.655, SmoothL1=1.231
[Epoch 0][Batch 102], Speed: 20.440 samples/sec, CrossEntropy=2.649, SmoothL1=1.226
[Epoch 0][Batch 103], Speed: 20.532 samples/sec, CrossEntropy=2.645, SmoothL1=1.227
[Epoch 0][Batch 104], Speed: 21.954 samples/sec, CrossEntropy=2.640, SmoothL1=1.225
[Epoch 0][Batch 105], Speed: 20.971 samples/sec, CrossEntropy=2.634, SmoothL1=1.222
[Epoch 0][Batch 106], Speed: 21.770 samples/sec, CrossEntropy=2.630, SmoothL1=1.219
[Epoch 0][Batch 107], Speed: 20.203 samples/sec, CrossEntropy=2.624, SmoothL1=1.214
[Epoch 0][Batch 108], Speed: 20.122 samples/sec, CrossEntropy=2.621, SmoothL1=1.213
[Epoch 0][Batch 109], Speed: 20.626 samples/sec, CrossEntropy=2.615, SmoothL1=1.212
[Epoch 0][Batch 110], Speed: 20.384 samples/sec, CrossEntropy=2.609, SmoothL1=1.207
[Epoch 0][Batch 111], Speed: 21.675 samples/sec, CrossEntropy=2.605, SmoothL1=1.205
[Epoch 0][Batch 112], Speed: 22.825 samples/sec, CrossEntropy=2.602, SmoothL1=1.202
[Epoch 0][Batch 113], Speed: 21.012 samples/sec, CrossEntropy=2.597, SmoothL1=1.202
[Epoch 0][Batch 114], Speed: 21.819 samples/sec, CrossEntropy=2.595, SmoothL1=1.201
