Namespace(batch_size=16, data_shape=512, dataset='voc', epochs=240, gpus='0', log_interval=1, lr=0.001, lr_decay=0.1, lr_decay_epoch='160,200', momentum=0.9, network='mobilenet1.0', num_workers=3, resume='', save_interval=100, save_prefix='ssd_512_mobilenet1.0_voc', seed=233, start_epoch=0, syncbn=False, val_interval=1, wd=0.0005)
Start training from [Epoch 0]
[Epoch 0][Batch 57], Speed: 32.170 samples/sec, CrossEntropy=3.136, SmoothL1=1.500
[Epoch 0][Batch 58], Speed: 13.340 samples/sec, CrossEntropy=3.126, SmoothL1=1.504
[Epoch 0][Batch 59], Speed: 26.692 samples/sec, CrossEntropy=3.112, SmoothL1=1.496
[Epoch 0][Batch 60], Speed: 37.003 samples/sec, CrossEntropy=3.099, SmoothL1=1.491
[Epoch 0][Batch 61], Speed: 24.009 samples/sec, CrossEntropy=3.086, SmoothL1=1.479
[Epoch 0][Batch 62], Speed: 16.005 samples/sec, CrossEntropy=3.077, SmoothL1=1.475
[Epoch 0][Batch 63], Speed: 48.741 samples/sec, CrossEntropy=3.063, SmoothL1=1.469
[Epoch 0][Batch 64], Speed: 18.387 samples/sec, CrossEntropy=3.053, SmoothL1=1.468
[Epoch 0][Batch 65], Speed: 10.003 samples/sec, CrossEntropy=3.041, SmoothL1=1.462
[Epoch 0][Batch 66], Speed: 47.754 samples/sec, CrossEntropy=3.029, SmoothL1=1.453
[Epoch 0][Batch 67], Speed: 35.047 samples/sec, CrossEntropy=3.018, SmoothL1=1.447
[Epoch 0][Batch 68], Speed: 31.831 samples/sec, CrossEntropy=3.012, SmoothL1=1.444
[Epoch 0][Batch 69], Speed: 18.843 samples/sec, CrossEntropy=3.001, SmoothL1=1.440
[Epoch 0][Batch 70], Speed: 24.634 samples/sec, CrossEntropy=2.992, SmoothL1=1.439
[Epoch 0][Batch 71], Speed: 7.628 samples/sec, CrossEntropy=2.981, SmoothL1=1.431
[Epoch 0][Batch 72], Speed: 39.483 samples/sec, CrossEntropy=2.971, SmoothL1=1.428
[Epoch 0][Batch 73], Speed: 38.292 samples/sec, CrossEntropy=2.966, SmoothL1=1.427
[Epoch 0][Batch 74], Speed: 30.359 samples/sec, CrossEntropy=2.958, SmoothL1=1.431
[Epoch 0][Batch 75], Speed: 33.675 samples/sec, CrossEntropy=2.948, SmoothL1=1.427
[Epoch 0][Batch 76], Speed: 39.995 samples/sec, CrossEntropy=2.940, SmoothL1=1.427
[Epoch 0][Batch 77], Speed: 9.824 samples/sec, CrossEntropy=2.934, SmoothL1=1.424
[Epoch 0][Batch 78], Speed: 40.698 samples/sec, CrossEntropy=2.925, SmoothL1=1.424
[Epoch 0][Batch 79], Speed: 40.031 samples/sec, CrossEntropy=2.919, SmoothL1=1.422
[Epoch 0][Batch 80], Speed: 16.774 samples/sec, CrossEntropy=2.912, SmoothL1=1.418
[Epoch 0][Batch 81], Speed: 21.773 samples/sec, CrossEntropy=2.904, SmoothL1=1.413
